year,stage,h1,h2,h3,h4
2024,2,43505.01239224138,7185.887493266551,9635.482152479999,16679.97218480793
2024,3,45836.08757560484,9729.134009578387,8607.646641885485,18783.66248740129
2024,4,46110.08808593766,9554.898014323999,8077.051790365667,21880.42779948133
2024,5,23880.921811998385,29610.728295113226,3014.3205251390323,14890.91957535516
2024,6,18221.142057293666,16183.633496096,1840.8766316736667,5490.904695638667
2024,7,14972.340536795162,19465.2202936,1627.242892356774,2650.628177766774
2024,8,11938.692130797419,6280.880827873226,1382.966044764839,1558.4758733941935
2024,9,9558.259016928001,6526.39466146,1205.8373046880001,1126.0028991703332
2024,10,14050.908864668709,11205.702463459033,1275.3516747261292,1061.697547174516
2024,11,35062.949414063,7488.930810547334,3792.8579996743333,2625.587780762
2024,12,46588.58644153226,15904.481429563226,5511.83746534871,6253.667007939355
2025,1,64387.76,5293.12529032258,13734.557677419354,17172.684612903227
2025,2,59647.85807142857,7038.682964285714,12452.479428571429,25676.182857142856
2025,3,42753.79293548387,3717.6989677419356,3572.3134516129035,26928.160774193548
2025,4,45843.33186666667,4238.6992,3466.730466666667,21533.956866666667
2025,5,33501.08777419355,3405.933612903226,3184.414806451613,13613.774612903226
2025,6,27062.617233333334,18402.651333333335,1878.3365333333334,6369.269
2025,7,20365.57587096774,12226.904967741935,1738.7890645161292,3435.9643225806453
2025,8,14509.221193548388,10384.955064516129,1433.5898387096775,2200.712612903226
2025,9,12094.648866666666,12555.861433333333,1257.6627999999998,1342.7134333333333
2025,10,14253.972580645162,12027.266806451613,1148.103935483871,1248.1166451612903
2025,11,23363.636733333333,9174.849033333334,1597.3455333333334,1793.721
2025,12,34078.73448387097,6156.736193548388,4063.092290322581,5323.180580645161
